Nome Conto,Entrate/Uscite,Causale,Data
Portafogli,32.5,,19/08/2013 12:11.58
Portafogli,1,,20/08/2013 12:53.33
Portafogli,2,,21/08/2013 12:50.14
Portafogli,0.6,,22/08/2013 20:06.42
Portafogli,1,,28/08/2013 15:48.03
Portafogli,15,,30/08/2013 10:39.37
Portafogli,10,,04/09/2013 11:55.34
Portafogli,0.5,,04/09/2013 11:55.41
Portafogli,2.3,,15/09/2013 10:46.41
Portafogli,9.7,,18/09/2013 10:08.54
Portafogli,9,,23/09/2013 11:43.00
Portafogli,3.6,,23/09/2013 11:45.15
Portafogli,4,,26/09/2013 19:05.40
Portafogli,3,,29/09/2013 21:39.27
Portafogli,0,,29/09/2013 21:44.08
Portafogli,6,,29/09/2013 21:44.15
Portafogli,2.6,,29/09/2013 21:45.38
Portafogli,0.5,,05/10/2013 18:36.25
Portafogli,3,,06/10/2013 12:49.21
Portafogli,1,,09/10/2013 09:37.44
Portafogli,2.7,,12/10/2013 18:12.09
Portafogli,3,,16/10/2013 17:35.08
Portafogli,1.5,,20/10/2013 15:17.42
Portafogli,3.5,,21/10/2013 18:42.14
Portafogli,1.1,,22/10/2013 22:09.27
Portafogli,1.5,,28/10/2013 18:05.57
Portafogli,5,,28/10/2013 18:06.02
Portafogli,2,,29/10/2013 18:48.08
Portafogli,5,,03/11/2013 09:48.17
Portafogli,1,,03/11/2013 09:48.21
Portafogli,2,,04/11/2013 22:02.46
Portafogli,2,,05/11/2013 19:47.23
Portafogli,3,,08/11/2013 09:17.31
Portafogli,6.5,,09/11/2013 09:44.47
Portafogli,1.5,,11/11/2013 09:37.08
Portafogli,2.5,,17/11/2013 13:31.06
Portafogli,2,,20/11/2013 22:39.16
Portafogli,5.1,,24/11/2013 16:02.35
Portafogli,5.5,,03/12/2013 19:01.27
Portafogli,5,,05/12/2013 19:59.05
Portafogli,1.1,,05/12/2013 19:59.14
Portafogli,2.8,,10/12/2013 10:29.17
Portafogli,2,,10/12/2013 10:30.00
Portafogli,2,,10/12/2013 20:40.22
Portafogli,6.5,,13/12/2013 10:52.46
Portafogli,0.1,,13/12/2013 10:52.56
Portafogli,8.6,,16/12/2013 20:23.45
Portafogli,1.5,,16/12/2013 20:23.53
Portafogli,2.5,,17/12/2013 17:41.55
Portafogli,15,,20/12/2013 09:58.55
Portafogli,5.5,,20/12/2013 09:59.16
Portafogli,20,,20/12/2013 12:18.58
Portafogli,3.4,,21/12/2013 16:53.52
Portafogli,52.6,,24/12/2013 18:52.23
Portafogli,25,,26/12/2013 12:25.12
Portafogli,0.7,,26/12/2013 19:04.38
Portafogli,3,,01/01/2014 19:47.43
Portafogli,1.5,,02/01/2014 21:18.36
Portafogli,0,,04/01/2014 18:22.33
Portafogli,5,,06/01/2014 21:36.00
Portafogli,1,,06/01/2014 21:36.12
Portafogli,2,,13/01/2014 19:10.59
Portafogli,2,,18/01/2014 16:49.19
Portafogli,42,,25/01/2014 12:01.25
Portafogli,50,,25/01/2014 12:39.37
Portafogli,5,,26/01/2014 15:41.38
Portafogli,2.4,,26/01/2014 15:42.48
Portafogli,10,,03/02/2014 09:47.21
Portafogli,10,,11/02/2014 17:56.55
Portafogli,2,,11/02/2014 17:57.02
Portafogli,10,,15/02/2014 20:25.44
Portafogli,2,,15/02/2014 20:25.50
Portafogli,-4.5,Pizza,16/02/2014 20:00.02
Portafogli,-2,,18/02/2014 16:48.14
Portafogli,-7,FILM: The lego movie (stupendo!),23/02/2014 11:06.33
Portafogli,-10.3,varie (pizza) (bourbon street),02/03/2014 23:00.34
Portafogli,-1,focaccia (università),03/03/2014 17:32.00
Portafogli,-2.5,(università),05/03/2014 18:34.51
Portafogli,-5.5,sabato (greco),09/03/2014 22:19.51
Portafogli,-2,pranzo universita',10/03/2014 23:16.56
Portafogli,-7,libri universita',11/03/2014 16:45.25
Portafogli,10,,11/03/2014 16:46.09
Portafogli,-5,universita',12/03/2014 16:29.08
Portafogli,-2,universita',13/03/2014 19:01.22
Portafogli,-2,biliardo,14/03/2014 19:21.10
Portafogli,-1,universita',19/03/2014 22:10.48
Portafogli,51,"paghetta"+1(altro),26/03/2014 20:44.36
Portafogli,-3,universita',28/03/2014 10:17.15
Portafogli,-10,sabato,30/03/2014 18:27.40
Portafogli,-2,universita',31/03/2014 22:05.37
Portafogli,-10,scout (anticipati),04/04/2014 14:14.31
Portafogli,10,scout (debito pagato),05/04/2014 20:46.42
Portafogli,-17.3,sabato&varie (compleanno posticipato),08/04/2014 14:02.58
Portafogli,-15,sabato+ricarica cellulare,15/04/2014 20:25.17
Portafogli,-10,compleanno simona,19/04/2014 18:50.49
Portafogli,1.5,-8.50 sabato +10 pasqua,20/04/2014 21:06.53
Portafogli,1,errore di prima,20/04/2014 21:07.04
Portafogli,-8.2,pullman per alberobello,23/04/2014 09:21.12
Portafogli,5,Soldi che furono anticipati a Marco,26/04/2014 10:35.58
Portafogli,-5.5,sabato,28/04/2014 10:13.59
Portafogli,-1,autobus,29/04/2014 09:31.41
Portafogli,-10,laurea/compleanno simone notarnicola,01/05/2014 11:26.43
Portafogli,1,fiera medievale bitetto,02/05/2014 18:40.00
Portafogli,20,"paghetta",02/05/2014 20:56.13
Portafogli,-4,caravella (san nicola),08/05/2014 09:47.27
